Initial,Explicit,Implicit,Crank-Nicolson
80,0.75054,0.75105,0.75080
85,1.47457,1.47450,1.47454
90,2.64511,2.64428,2.64470
95,4.37371,4.37221,4.37296
100,6.72770,6.72591,6.72681
105,9.71293,9.71134,9.71214
110,13.27446,13.27342,13.27394
115,17.31381,17.31342,17.31361
120,21.71437,21.71452,21.71444
